municipio,variable,mae_seasonal,mae_rf,modelo_seleccionado
Aguadas,precip_mm,57.99110430945576,66.73069218611126,seasonal
Aguadas,temp_mean,0.6375999049311966,0.6297395929577376,rf
Aguadas,et_real_mm,9.969840480831708,11.57128343292923,seasonal
Aguadas,ndvi_mean,0.04328277712872476,0.05020087353224873,seasonal
Anserma,precip_mm,56.670570105045655,59.028957640477785,seasonal
Anserma,temp_mean,0.5713667225746342,0.3997914521764495,rf
Anserma,et_real_mm,7.551262727313151,9.771936253253076,seasonal
Anserma,ndvi_mean,0.03523659267233552,0.046281760481226605,seasonal
Aranzazu,precip_mm,46.04335625638362,52.62917523711821,seasonal
Aranzazu,temp_mean,0.4299061661239468,0.6502713125869989,seasonal
Aranzazu,et_real_mm,7.077072729153734,7.8847222143584945,seasonal
Aranzazu,ndvi_mean,0.10059051349940917,0.08863191458349773,rf
Belalcázar,precip_mm,61.98403918402869,66.24699863788318,seasonal
Belalcázar,temp_mean,0.4661113079535341,0.35055866982506917,rf
Belalcázar,et_real_mm,8.229780195018025,9.951919763970023,seasonal
Belalcázar,ndvi_mean,0.03223494082420296,0.04151062862549867,seasonal
Chinchiná,precip_mm,62.33260713927261,67.03863911542516,seasonal
Chinchiná,temp_mean,0.593079183342511,0.4162672719247937,rf
Chinchiná,et_real_mm,8.303513779249075,10.523329704122432,seasonal
Chinchiná,ndvi_mean,0.039076594797409284,0.047064844010947605,seasonal
Filadelfia,precip_mm,53.069299921593476,56.38338789654085,seasonal
Filadelfia,temp_mean,0.4800136838650055,0.6609505762306777,seasonal
Filadelfia,et_real_mm,9.830979134516463,11.475806811661025,seasonal
Filadelfia,ndvi_mean,0.039588317948887466,0.04932100800814631,seasonal
La Dorada,precip_mm,61.2316055048662,73.72340939096017,seasonal
La Dorada,temp_mean,0.8975674016697932,0.9928908281618385,seasonal
La Dorada,et_real_mm,16.40256869772999,19.766119634545785,seasonal
La Dorada,ndvi_mean,0.03583747766597925,0.044542518843033056,seasonal
La Merced,precip_mm,51.04936780150763,55.6993188934825,seasonal
La Merced,temp_mean,0.49924973431471437,0.8255692778951139,seasonal
La Merced,et_real_mm,10.199002882599585,12.124229342325433,seasonal
La Merced,ndvi_mean,0.037497969107478366,0.046346865476920796,seasonal
Manizales,precip_mm,46.201150651521324,49.92664666281325,seasonal
Manizales,temp_mean,0.7240151529020865,0.5774110565494772,rf
Manizales,et_real_mm,6.6191062435467884,9.226547553005306,seasonal
Manizales,ndvi_mean,0.08201040449199239,0.08943168551839888,seasonal
Manzanares,precip_mm,61.25224245049155,70.61578729780224,seasonal
Manzanares,temp_mean,0.5375286752335882,0.5840838346793314,seasonal
Manzanares,et_real_mm,8.36348831932905,9.23435688710741,seasonal
Manzanares,ndvi_mean,0.08766376178790412,0.11061733658723558,seasonal
Marmato,precip_mm,54.61161132140399,58.07851513135933,seasonal
Marmato,temp_mean,0.5763872132033654,0.6331843616968565,seasonal
Marmato,et_real_mm,10.515319380440351,12.867779712378313,seasonal
Marmato,ndvi_mean,0.061179183213459574,0.07819115892924872,seasonal
Marquetalia,precip_mm,89.30692004347695,95.91470249483667,seasonal
Marquetalia,temp_mean,0.6214996145809367,0.5835058545488722,rf
Marquetalia,et_real_mm,9.479490224425177,9.609604822933369,seasonal
Marquetalia,ndvi_mean,0.0679812824527437,0.09493264538841147,seasonal
Marulanda,precip_mm,47.17483038830637,58.183719257846455,seasonal
Marulanda,temp_mean,0.45786109324399926,0.5005979409579642,seasonal
Marulanda,et_real_mm,6.744963552226021,7.180405562142826,seasonal
Marulanda,ndvi_mean,0.08536517851022131,0.10182701581409029,seasonal
Neira,precip_mm,46.62279792330021,55.17727781614686,seasonal
Neira,temp_mean,0.6004034044023769,0.41737104567372363,rf
Neira,et_real_mm,6.856161202529516,9.307338969680947,seasonal
Neira,ndvi_mean,0.07466756728316108,0.07800901152305191,seasonal
Norcasia,precip_mm,79.44822570948938,102.5808866274374,seasonal
Norcasia,temp_mean,0.7859834141310593,0.9078595254540064,seasonal
Norcasia,et_real_mm,14.376221575435729,16.786816047915334,seasonal
Norcasia,ndvi_mean,0.041138822196677374,0.05701943327347132,seasonal
Palestina,precip_mm,61.890373001851984,65.1473732954532,seasonal
Palestina,temp_mean,0.6320738754510741,0.3281466701956889,rf
Palestina,et_real_mm,7.99763236390753,10.582236775931474,seasonal
Palestina,ndvi_mean,0.02273923321509646,0.026959757464782408,seasonal
Pensilvania,precip_mm,68.3750073388729,92.23295304749445,seasonal
Pensilvania,temp_mean,0.5700086984916829,0.8068424841263873,seasonal
Pensilvania,et_real_mm,7.698868312757203,6.806851199636523,rf
Pensilvania,ndvi_mean,0.09862360177755863,0.129834004084335,seasonal
Pácora,precip_mm,51.99998584702298,59.25716837543552,seasonal
Pácora,temp_mean,0.574947694777274,0.6567077263644593,seasonal
Pácora,et_real_mm,9.311170411308579,10.74048912019488,seasonal
Pácora,ndvi_mean,0.06498060220293916,0.07203150818772265,seasonal
Riosucio,precip_mm,57.57689901314544,56.20485469986741,rf
Riosucio,temp_mean,0.6269418306981561,0.4278102515164233,rf
Riosucio,et_real_mm,7.80881922321975,9.133974104228775,seasonal
Riosucio,ndvi_mean,0.08060785430314298,0.09246629719125554,seasonal
Risaralda,precip_mm,61.76778941450604,63.591930679777946,seasonal
Risaralda,temp_mean,0.38732450640342886,0.4005319198412126,seasonal
Risaralda,et_real_mm,7.224802748682137,9.627037422811584,seasonal
Risaralda,ndvi_mean,0.034086351655874376,0.044140773061618704,seasonal
Salamina,precip_mm,46.133801445906144,57.12144414264025,seasonal
Salamina,temp_mean,0.4652372633715171,0.6438096750424224,seasonal
Salamina,et_real_mm,8.192917405331157,8.564832240333033,seasonal
Salamina,ndvi_mean,0.06800032089592228,0.07768452935193684,seasonal
Samaná,precip_mm,93.61254215190777,105.23788013377423,seasonal
Samaná,temp_mean,0.7315694864001347,0.8604216913739917,seasonal
Samaná,et_real_mm,11.014010067114105,11.233188646196119,seasonal
Samaná,ndvi_mean,0.06935391492461879,0.09231054392233981,seasonal
San José,precip_mm,62.079544080883004,68.03558044207682,seasonal
San José,temp_mean,0.34737097641564085,0.37823537261674167,seasonal
San José,et_real_mm,7.714591977869989,9.591621171169098,seasonal
San José,ndvi_mean,0.03566888207294628,0.040209537442801604,seasonal
Supia,precip_mm,58.89278852765976,55.620302442774005,rf
Supia,temp_mean,0.5399815199428536,0.5370656979781564,rf
Supia,et_real_mm,10.326288728632482,13.101090413859106,seasonal
Supia,ndvi_mean,0.05220494620001123,0.06730690528774727,seasonal
Victoria,precip_mm,79.84896466491975,81.17876813217308,seasonal
Victoria,temp_mean,0.856389676488667,0.8800886011526412,seasonal
Victoria,et_real_mm,14.571752404139103,17.90159778565492,seasonal
Victoria,ndvi_mean,0.048275622715642674,0.05832705464188249,seasonal
Villamaria,precip_mm,41.38332939350373,48.380626899336264,seasonal
Villamaria,temp_mean,0.4142431002197627,0.3621973510041341,rf
Villamaria,et_real_mm,7.13191818126186,8.483580316530302,seasonal
Villamaria,ndvi_mean,0.14554103466346774,0.15107574164453239,seasonal
Viterbo,precip_mm,68.32945568927431,82.66263432438413,seasonal
Viterbo,temp_mean,0.38204887995354603,0.4295726722343907,seasonal
Viterbo,et_real_mm,7.3575427403540745,9.754289413343669,seasonal
Viterbo,ndvi_mean,0.017384973130301854,0.022472468168701635,seasonal
