municipio,anio,area_ha,cluster,tipo_estimacion,rendimiento_real_t_ha,rendimiento_esperado_t_ha,produccion_esperada_t,precio_USD_ton,indice_riesgo,nivel_riesgo,probabilidad_perdida,payout,monto_asegurado_USD,prima_pura_USD,prima_comercial_USD,indemnizacion_estimada_USD
AGUADAS,2025,1.0,1,futura,,1.1522666666666666,1.1522666666666666,7997.76,0.1811737102531923,Medio,0.44876325088339225,0.0,9215.552255999999,2240.49035848234,2912.6374660270426,0.0
AGUADAS,2026,1.0,1,futura,,1.1522666666666666,1.1522666666666666,6819.14,0.9149317419262125,Bajo,0.37467018469656993,0.0,7857.467717333333,1910.312065270934,2483.4056848522146,0.0
AGUADAS,2027,1.0,1,futura,,1.1522666666666666,1.1522666666666666,6819.14,0.9149317419262125,Bajo,0.37467018469656993,0.0,7857.467717333333,1910.312065270934,2483.4056848522146,0.0
ANSERMA,2025,1.0,2,futura,,1.1522666666666666,1.1522666666666666,7997.76,0.262742978879625,Medio,0.4377104377104377,0.0,9215.552255999999,2240.49035848234,2912.6374660270426,0.0
ANSERMA,2026,1.0,2,futura,,1.1522666666666666,1.1522666666666666,6819.14,0.034708086838076,Alto,0.4549019607843137,0.021100732518167742,7857.467717333333,1910.312065270934,2483.4056848522146,165.79832457358873
ANSERMA,2027,1.0,2,futura,,1.1522666666666666,1.1522666666666666,6819.14,0.034708086838076,Alto,0.4549019607843137,0.021100732518167742,7857.467717333333,1910.312065270934,2483.4056848522146,165.79832457358873
ARANZAZU,2025,1.0,1,futura,,1.1522666666666666,1.1522666666666666,7997.76,0.30509231592134906,Medio,0.42483660130718953,0.0,9215.552255999999,2240.49035848234,2912.6374660270426,0.0
ARANZAZU,2026,1.0,1,futura,,1.1522666666666666,1.1522666666666666,6819.14,0.9819400706678214,Bajo,0.3723958333333333,0.0,7857.467717333333,1910.312065270934,2483.4056848522146,0.0
ARANZAZU,2027,1.0,1,futura,,1.1522666666666666,1.1522666666666666,6819.14,0.9521172738118469,Bajo,0.3717277486910995,0.0,7857.467717333333,1910.312065270934,2483.4056848522146,0.0
BELALCÁZAR,2025,1.0,2,futura,,1.1522666666666666,1.1522666666666666,7997.76,-0.019183385900370015,Alto,0.45934959349593496,0.04177016865370807,9215.552255999999,2240.49035848234,2912.6374660270426,384.93517197017985
BELALCÁZAR,2026,1.0,2,futura,,1.1522666666666666,1.1522666666666666,6819.14,0.07854948517653935,Alto,0.4490566037735849,0.007212625982822298,7857.467717333333,1910.312065270934,2483.4056848522146,56.672975817225804
BELALCÁZAR,2027,1.0,2,futura,,1.1522666666666666,1.1522666666666666,6819.14,0.07854948517653935,Alto,0.4490566037735849,0.007212625982822298,7857.467717333333,1910.312065270934,2483.4056848522146,56.672975817225804
CHINCHINÁ,2025,1.0,2,futura,,1.1522666666666666,1.1522666666666666,7997.76,2.2567051922123365,Bajo,0.3471264367816092,0.0,9215.552255999999,2240.49035848234,2912.6374660270426,0.0
CHINCHINÁ,2026,1.0,2,futura,,1.1522666666666666,1.1522666666666666,6819.14,0.35116070966381635,Medio,0.42071197411003236,0.0,7857.467717333333,1910.312065270934,2483.4056848522146,0.0
CHINCHINÁ,2027,1.0,2,futura,,1.1522666666666666,1.1522666666666666,6819.14,0.35116070966381635,Medio,0.42071197411003236,0.0,7857.467717333333,1910.312065270934,2483.4056848522146,0.0
FILADELFIA,2025,1.0,2,futura,,1.1522666666666666,1.1522666666666666,7997.76,-0.4989595206611883,Alto,0.528169014084507,0.306948782050342,9215.552255999999,2240.49035848234,2912.6374660270426,2828.702540900481
FILADELFIA,2026,1.0,2,futura,,1.1522666666666666,1.1522666666666666,6819.14,0.12623395277700264,Medio,0.45652173913043476,0.0,7857.467717333333,1910.312065270934,2483.4056848522146,0.0
FILADELFIA,2027,1.0,2,futura,,1.1522666666666666,1.1522666666666666,6819.14,0.12623395277700264,Medio,0.45652173913043476,0.0,7857.467717333333,1910.312065270934,2483.4056848522146,0.0
LA MERCED,2025,1.0,2,futura,,1.1522666666666666,1.1522666666666666,7997.76,-0.8581483314258274,Alto,0.5679012345679012,0.5596267228211355,9215.552255999999,2240.49035848234,2912.6374660270426,5157.269308012201
LA MERCED,2026,1.0,2,futura,,1.1522666666666666,1.1522666666666666,6819.14,0.11407081076416806,Medio,0.4562043795620438,0.0,7857.467717333333,1910.312065270934,2483.4056848522146,0.0
LA MERCED,2027,1.0,2,futura,,1.1522666666666666,1.1522666666666666,6819.14,0.11407081076416806,Medio,0.4562043795620438,0.0,7857.467717333333,1910.312065270934,2483.4056848522146,0.0
MANIZALES,2025,1.0,1,futura,,1.1522666666666666,1.1522666666666666,7997.76,1.6173938521539244,Bajo,0.35545023696682465,0.0,9215.552255999999,2240.49035848234,2912.6374660270426,0.0
MANIZALES,2026,1.0,1,futura,,1.1522666666666666,1.1522666666666666,6819.14,0.9454919016161295,Bajo,0.3717277486910995,0.0,7857.467717333333,1910.312065270934,2483.4056848522146,0.0
MANIZALES,2027,1.0,1,futura,,1.1522666666666666,1.1522666666666666,6819.14,0.9454919016161295,Bajo,0.3717277486910995,0.0,7857.467717333333,1910.312065270934,2483.4056848522146,0.0
MANZANARES,2025,1.0,1,futura,,1.1522666666666666,1.1522666666666666,7997.76,-0.4170728420061591,Alto,0.5,0.2546364229179053,9215.552255999999,2240.49035848234,2912.6374660270426,2346.6152616808718
MANZANARES,2026,1.0,1,futura,,1.1522666666666666,1.1522666666666666,6819.14,0.5764520575325998,Bajo,0.3884057971014493,0.0,7857.467717333333,1910.312065270934,2483.4056848522146,0.0
MANZANARES,2027,1.0,1,futura,,1.1522666666666666,1.1522666666666666,6819.14,0.5764520575325998,Bajo,0.3884057971014493,0.0,7857.467717333333,1910.312065270934,2483.4056848522146,0.0
MARMATO,2025,1.0,2,futura,,1.1522666666666666,1.1522666666666666,7997.76,0.12324629806272992,Medio,0.45454545454545453,0.0,9215.552255999999,2240.49035848234,2912.6374660270426,0.0
MARMATO,2026,1.0,2,futura,,1.1522666666666666,1.1522666666666666,6819.14,-0.13972371683449522,Alto,0.4660633484162896,0.09713565251171062,7857.467717333333,1910.312065270934,2483.4056848522146,763.2402538128747
MARMATO,2027,1.0,2,futura,,1.1522666666666666,1.1522666666666666,6819.14,-0.13972371683449522,Alto,0.4660633484162896,0.09713565251171062,7857.467717333333,1910.312065270934,2483.4056848522146,763.2402538128747
MARQUETALIA,2025,1.0,3,futura,,1.1522666666666666,1.1522666666666666,7997.76,-1.3411231052627186,Alto,0.6071428571428571,0.9459447330379764,9215.552255999999,2240.49035848234,2912.6374660270426,8717.40311859944
MARQUETALIA,2026,1.0,3,futura,,1.1522666666666666,1.1522666666666666,6819.14,-0.6731791666294397,Alto,0.5478260869565217,0.42517213561030964,7857.467717333333,1910.312065270934,2483.4056848522146,3340.776329867678
MARQUETALIA,2027,1.0,3,futura,,1.1522666666666666,1.1522666666666666,6819.14,-0.6731791666294397,Alto,0.5478260869565217,0.42517213561030964,7857.467717333333,1910.312065270934,2483.4056848522146,3340.776329867678
MARULANDA,2025,1.0,0,futura,,1.1522666666666666,1.1522666666666666,7997.76,-1.9729349893381394,Alto,0.6333333333333333,1.0,9215.552255999999,2240.49035848234,2912.6374660270426,9215.552255999999
MARULANDA,2026,1.0,0,futura,,1.1522666666666666,1.1522666666666666,6819.14,-0.29671390252506313,Alto,0.4946236559139785,0.18214479615135756,7857.467717333333,1910.312065270934,2483.4056848522146,1431.1968556395527
MARULANDA,2027,1.0,0,futura,,1.1522666666666666,1.1522666666666666,6819.14,-0.29671390252506313,Alto,0.4946236559139785,0.18214479615135756,7857.467717333333,1910.312065270934,2483.4056848522146,1431.1968556395527
NEIRA,2025,1.0,1,futura,,1.1522666666666666,1.1522666666666666,7997.76,1.2991609102339237,Bajo,0.3616504854368932,0.0,9215.552255999999,2240.49035848234,2912.6374660270426,0.0
NEIRA,2026,1.0,1,futura,,1.1522666666666666,1.1522666666666666,6819.14,0.9091548783332659,Bajo,0.37467018469656993,0.0,7857.467717333333,1910.312065270934,2483.4056848522146,0.0
NEIRA,2027,1.0,1,futura,,1.1522666666666666,1.1522666666666666,6819.14,0.9091548783332659,Bajo,0.37467018469656993,0.0,7857.467717333333,1910.312065270934,2483.4056848522146,0.0
PALESTINA,2025,1.0,2,futura,,1.1522666666666666,1.1522666666666666,7997.76,1.4967733794298628,Bajo,0.35714285714285715,0.0,9215.552255999999,2240.49035848234,2912.6374660270426,0.0
PALESTINA,2026,1.0,2,futura,,1.1522666666666666,1.1522666666666666,6819.14,0.3486888928548276,Medio,0.42071197411003236,0.0,7857.467717333333,1910.312065270934,2483.4056848522146,0.0
PALESTINA,2027,1.0,2,futura,,1.1522666666666666,1.1522666666666666,6819.14,0.3486888928548276,Medio,0.42071197411003236,0.0,7857.467717333333,1910.312065270934,2483.4056848522146,0.0
PENSILVANIA,2025,1.0,1,futura,,1.1522666666666666,1.1522666666666666,7997.76,-0.3655027031391158,Alto,0.5,0.22289488581676248,9215.552255999999,2240.49035848234,2912.6374660270426,2054.0994678395277
PENSILVANIA,2026,1.0,1,futura,,1.1522666666666666,1.1522666666666666,6819.14,0.40584689875026875,Bajo,0.41139240506329117,0.0,7857.467717333333,1910.312065270934,2483.4056848522146,0.0
PENSILVANIA,2027,1.0,1,futura,,1.1522666666666666,1.1522666666666666,6819.14,0.4730526891321595,Bajo,0.39755351681957185,0.0,7857.467717333333,1910.312065270934,2483.4056848522146,0.0
PÁCORA,2025,1.0,1,futura,,1.1522666666666666,1.1522666666666666,7997.76,-0.20844717074898542,Alto,0.4827586206896552,0.13283806078883126,9215.552255999999,2240.49035848234,2912.6374660270426,1224.176090785179
PÁCORA,2026,1.0,1,futura,,1.1522666666666666,1.1522666666666666,6819.14,0.8647564590055795,Bajo,0.376657824933687,0.0,7857.467717333333,1910.312065270934,2483.4056848522146,0.0
PÁCORA,2027,1.0,1,futura,,1.1522666666666666,1.1522666666666666,6819.14,0.8647564590055795,Bajo,0.376657824933687,0.0,7857.467717333333,1910.312065270934,2483.4056848522146,0.0
RIOSUCIO,2025,1.0,1,futura,,1.1522666666666666,1.1522666666666666,7997.76,0.4208290009061709,Bajo,0.40498442367601245,0.0,9215.552255999999,2240.49035848234,2912.6374660270426,0.0
RIOSUCIO,2026,1.0,1,futura,,1.1522666666666666,1.1522666666666666,6819.14,0.6754550594040537,Bajo,0.38309859154929576,0.0,7857.467717333333,1910.312065270934,2483.4056848522146,0.0
RIOSUCIO,2027,1.0,1,futura,,1.1522666666666666,1.1522666666666666,6819.14,0.6640962742240639,Bajo,0.38309859154929576,0.0,7857.467717333333,1910.312065270934,2483.4056848522146,0.0
RISARALDA,2025,1.0,2,futura,,1.1522666666666666,1.1522666666666666,7997.76,0.16309852601158684,Medio,0.45195729537366547,0.0,9215.552255999999,2240.49035848234,2912.6374660270426,0.0
RISARALDA,2026,1.0,2,futura,,1.1522666666666666,1.1522666666666666,6819.14,0.019784947906587694,Alto,0.452755905511811,0.026493509504259768,7857.467717333333,1910.312065270934,2483.4056848522146,208.17189564858495
RISARALDA,2027,1.0,2,futura,,1.1522666666666666,1.1522666666666666,6819.14,0.019784947906587694,Alto,0.452755905511811,0.026493509504259768,7857.467717333333,1910.312065270934,2483.4056848522146,208.17189564858495
SALAMINA,2025,1.0,1,futura,,1.1522666666666666,1.1522666666666666,7997.76,-0.0025474600027834238,Alto,0.4596774193548387,0.03505442147081868,9215.552255999999,2240.49035848234,2912.6374660270426,323.04585286817786
SALAMINA,2026,1.0,1,futura,,1.1522666666666666,1.1522666666666666,6819.14,0.8699992282037736,Bajo,0.376657824933687,0.0,7857.467717333333,1910.312065270934,2483.4056848522146,0.0
SALAMINA,2027,1.0,1,futura,,1.1522666666666666,1.1522666666666666,6819.14,0.8699992282037736,Bajo,0.376657824933687,0.0,7857.467717333333,1910.312065270934,2483.4056848522146,0.0
SAMANÁ,2025,1.0,3,futura,,1.1522666666666666,1.1522666666666666,7997.76,-1.0771891885467508,Alto,0.6078431372549019,0.7290538498480444,9215.552255999999,2240.49035848234,2912.6374660270426,6718.63385071263
SAMANÁ,2026,1.0,3,futura,,1.1522666666666666,1.1522666666666666,6819.14,-0.9125759537566932,Alto,0.5507246376811594,0.6007509922381155,7857.467717333333,1910.312065270934,2483.4056848522146,4720.38152766696
SAMANÁ,2027,1.0,3,futura,,1.1522666666666666,1.1522666666666666,6819.14,-0.9125759537566932,Alto,0.5507246376811594,0.6007509922381155,7857.467717333333,1910.312065270934,2483.4056848522146,4720.38152766696
SAN JOSÉ,2025,1.0,2,futura,,1.1522666666666666,1.1522666666666666,7997.76,-0.1969996492410087,Alto,0.47342995169082125,0.12671570118024938,9215.552255999999,2240.49035848234,2912.6374660270426,1167.755165882269
SAN JOSÉ,2026,1.0,2,futura,,1.1522666666666666,1.1522666666666666,6819.14,0.0360626936329226,Alto,0.4549019607843137,0.02062557155016998,7857.467717333333,1910.312065270934,2483.4056848522146,162.06476260700947
SAN JOSÉ,2027,1.0,2,futura,,1.1522666666666666,1.1522666666666666,6819.14,0.0360626936329226,Alto,0.4549019607843137,0.02062557155016998,7857.467717333333,1910.312065270934,2483.4056848522146,162.06476260700947
SUPIA,2025,1.0,2,futura,,1.1522666666666666,1.1522666666666666,7997.76,-0.08860319072476545,Alto,0.46320346320346323,0.07237990299417586,9215.552255999999,2240.49035848234,2912.6374660270426,667.0207783270384
SUPIA,2026,1.0,2,futura,,1.1522666666666666,1.1522666666666666,6819.14,-0.010072810082215222,Alto,0.45934959349593496,0.03805865792478648,7857.467717333333,1910.312065270934,2483.4056848522146,299.0446760090422
SUPIA,2027,1.0,2,futura,,1.1522666666666666,1.1522666666666666,6819.14,0.006444528351783809,Alto,0.4578313253012048,0.03154137961473455,7857.467717333333,1910.312065270934,2483.4056848522146,247.8353720829324
VICTORIA,2025,1.0,3,futura,,1.1522666666666666,1.1522666666666666,7997.76,-0.5559571990364985,Alto,0.5367647058823529,0.3446414135900495,9215.552255999999,2240.49035848234,2912.6374660270426,3176.0609565208097
VICTORIA,2026,1.0,3,futura,,1.1522666666666666,1.1522666666666666,6819.14,0.8391526465120001,Bajo,0.376,0.0,7857.467717333333,1910.312065270934,2483.4056848522146,0.0
VICTORIA,2027,1.0,3,futura,,1.1522666666666666,1.1522666666666666,6819.14,0.8391526465120001,Bajo,0.376,0.0,7857.467717333333,1910.312065270934,2483.4056848522146,0.0
VILLAMARIA,2025,1.0,0,futura,,1.1522666666666666,1.1522666666666666,7997.76,-1.8429960606297422,Alto,0.6333333333333333,1.0,9215.552255999999,2240.49035848234,2912.6374660270426,9215.552255999999
VILLAMARIA,2026,1.0,0,futura,,1.1522666666666666,1.1522666666666666,6819.14,0.19895601504886584,Medio,0.44755244755244755,0.0,7857.467717333333,1910.312065270934,2483.4056848522146,0.0
VILLAMARIA,2027,1.0,0,futura,,1.1522666666666666,1.1522666666666666,6819.14,0.19895601504886584,Medio,0.44755244755244755,0.0,7857.467717333333,1910.312065270934,2483.4056848522146,0.0
VITERBO,2025,1.0,2,futura,,1.1522666666666666,1.1522666666666666,7997.76,-0.08097540888030497,Alto,0.46120689655172414,0.06883502717171817,9215.552255999999,2240.49035848234,2912.6374660270426,634.3527899441486
VITERBO,2026,1.0,2,futura,,1.1522666666666666,1.1522666666666666,6819.14,0.3139142529915243,Medio,0.42483660130718953,0.0,7857.467717333333,1910.312065270934,2483.4056848522146,0.0
VITERBO,2027,1.0,2,futura,,1.1522666666666666,1.1522666666666666,6819.14,0.3139142529915243,Medio,0.42483660130718953,0.0,7857.467717333333,1910.312065270934,2483.4056848522146,0.0
